dokument_kod	anchor	opis
D7	jalta-3-0	Pięć głębszych warstw argumentu za Jałtą 3.0: styl decyzyjny, tożsamość, nieufność, równowagi Nasha i metoda analizy.
D7	warstwa-kognitywna	Spekulatywna rama traktująca cechy AuDHD jako styl decyzyjny, nie diagnozę kliniczną aktorów.
D7	hipoteza-warstwa-kognitywna	Hipoteza wspólnego stylu poznawczego Trumpa, Aliyeva i Izraela jako źródła łatwiejszej synchronizacji.
D7	trump-profil-adhd	Trump opisany przez impulsywność, krótki horyzont uwagi, transakcyjność i hiperfokus na atrakcyjnych dealach.
D7	aliyev-audhd-strategiczne	Aliyev opisany jako długotrwale skupiony na celu, systemowy i zdolny do nagłego działania po długiej obserwacji.
D7	izrael-panstwo-z-audhd	Izrael potraktowany metaforycznie jako system państwowy obsesyjnie modelujący wzorce zagrożeń i szybko reagujący.
D7	warstwa-tozsamosciowa	Żydzi, Kurdowie i Azerowie jako narody z doświadczeniem przetrwania bez własnego lub pełnego państwa.
D7	fundament-koalicji	Wspólne doświadczenie podziału i obcej dominacji ma tworzyć głębsze spoiwo niż bieżący interes.
D7	panstwo-jako-projekt	Państwowość jako projekt pokoleniowy, który można odzyskać po dekadach lub stuleciach utraty.
D7	wzajemne-rozpoznanie	Wspólnota doświadczenia izolacji i przetrwania ma ułatwiać trwałe rozpoznanie między trzema narodami.
D7	samowystarczalnosc-przetrwanie	Historia zdrad protektorów wzmacnia kulturę samodzielnego zabezpieczania własnego przetrwania.
D7	trzy-tysiace-lat-historii	Długie relacje Żydów, Kurdów i Azerów przedstawione jako historyczna warstwa pod współczesną koalicją.
D7	abraham-w-zagros	Geografia Zagros, Araratu i Arasu użyta jako symboliczna warstwa wspólnej pamięci i sakralnego znaczenia ziemi.
D7	warstwa-paradoksu	Nieufność wobec zewnętrznych gwarantów ma wzmacniać autonomię i odporność projektowanego układu.
D7	teza-nieufnosc-stabilizator	Kurdyjska nieufność wobec USA przedstawiona jako atut, bo wymusza planowanie bez gwaranta.
D7	precedensy-zdrady	1975, 1991 i 2019 jako ciąg amerykańskich porzuceń Kurdów kształtujący ich strategię autonomii.
D7	piec-mechanizmow-nieufnosci	Pięć sposobów, w jakie oczekiwanie zdrady ma zwiększać samodzielność i trwałość układu.
D7	autonomia-dzialania	Brak zaufania do patrona skraca ścieżkę decyzji: aktor działa z własnego interesu, nie czeka na sygnał.
D7	struktury-niezalezne-od-patrona	Własna obrona, dochody i regionalne sojusze mają pozwolić przetrwać po zniknięciu zewnętrznego parasola.
D7	nieznaleznosc-od-attention-spanu-trumpa	Jeśli lokalni aktorzy działają dla siebie, zmienność zainteresowania Trumpa przestaje być krytycznym ryzykiem.
D7	eliminacja-pulapki-zaleznosci	Dywersyfikacja partnerów i własnych zasobów ma usuwać strategiczne uzależnienie od jednego patrona.
D7	legitymacja-wewnetrzna	Fakty na ziemi i lokalne instytucje mają dawać legitymację niezależną od formalnego uznania mocarstw.
D7	warstwa-matematyczna	Teoria gier ma wykazać, że układ może być samoegzekwujący się bez arbitra i zaufania.
D7	definicja-rownowagi-nasha	Równowaga Nasha jako stan, w którym jednostronna defekcja nie poprawia sytuacji żadnego aktora.
D7	nash-trojkat-zydzi-azerowie-kurdowie	Test stabilności podstawowego trójkąta przez policzenie kosztów jednostronnego odejścia każdego z partnerów.
D7	izrael-defektuje	Izrael traciłby bufor i wyjątkowych regionalnych partnerów, nie zyskując porównywalnej alternatywy.
D7	azerbejdzan-defektuje	Azerbejdżan traciłby izraelskie zdolności i kurdyjski bufor na rzecz słabszych alternatyw.
D7	kurdowie-defektuja	Kurdowie wracaliby do izolacji, rezygnując z rzadkich partnerów tolerujących ich autonomię.
D7	nash-czworokat-z-usa	Dodanie USA testuje, czy amerykańskie zaangażowanie jest korzystne, lecz nie niezbędne dla rdzenia układu.
D7	usa-defektuja	Wyjście USA oznaczałoby utratę tanich wpływów i zysków z układu, który prawdopodobnie przetrwa bez nich.
D7	trojkat-defektuje-wobec-usa	Trójkąt ma powody zachować USA jako użytecznego partnera, choć nie jako warunek własnego istnienia.
D7	nash-pelny-system	Test rozszerza rachunek defekcji na Turcję, Armenię, UE, GCC i Chiny.
D7	turcja-defektuje	Turcja traciłaby korytarz turkijski, tranzyt i wpływy bez atrakcyjnej alternatywy.
D7	armenia-defektuje	Armenia traciłaby zachodni zwrot, odblokowanie granic i korzyści z nowych korytarzy.
D7	ue-defektuje	UE traciłaby dywersyfikację energetyczną i dostęp do alternatywnych szlaków azjatyckich.
D7	gcc-defektuje	Państwa Zatoki wracałyby do kosztowniejszego środowiska z silniejszym zagrożeniem irańskim.
D7	chiny-defektuja	Przy założeniu dealu Dalekiego Wschodu Chiny miałyby więcej do stracenia niż zyskać na blokowaniu układu.
D7	trzy-zagniezdzone-rownowagi	Lokalna, regionalna i szersza równowaga mają wzajemnie podtrzymywać system na różnych skalach.
D7	warstwa-epistemologiczna	Refleksja nad tym, jak intuicja, prowokacja i dane prowadziły do wyłaniania kolejnych warstw modelu.
D7	odwrocona-metoda-naukowa	Proces opisany jako intuicja → prowokacja → dane → formalizacja, zamiast klasycznej kolejności hipoteza → test.
D7	synteza-dlaczego-moze-zadzialac	Zebranie pięciu niezależnych warstw, które mają wspólnie tłumaczyć trwałość układu bez centralnego architekta.
D7	piec-warstw-piec-powodow	Pięć argumentów za trwałością: synchronizacja poznawcza, pamięć, nieufność, Nash i organiczny proces analityczny.
D7	ostatnie-zdanie	Jałta 3.0 jako „pole grawitacyjne”: raz uruchomiony układ ma przyciągać aktorów siłą ich własnych interesów.
