dokument_kod	anchor	opis
E2	monopole-moralnosc-transformacja	Źródłowa rewizja tez o monopolach energetycznych, zależności politycznej i moralnym wymiarze transformacji. Weryfikuje i koryguje wcześniejszą analizę.
E2	saudyjska-dzwignia-samolikwidacja	Wojny cenowe Arabii Saudyjskiej osłabiały konkurentów chwilowo, lecz trwale zwiększały odporność shale i kosztowały OPEC przychody.
E2	chinski-monopol-ree-lit	Chińska dominacja w REE i licie wynika z przemysłowego ekosystemu processingu, a jej erozja jest realna, lecz wolniejsza niż zakładano.
E2	strategia-processing	Czterdziestoletnia strategia łączy tani kapitał, tolerancję środowiskową, technologię separacji, klastry downstream i kontrolę eksportu.
E2	erozja-zegar-samozniszczenia	Recykling i dywersyfikacja działają przeciw monopolowi długoterminowo, ale ciężkie REE dają Chinom kilkuletnią ostrą dźwignię.
E2	wandel-durch-handel-moralny-hazard	Zależność energetyczna od Rosji była wspierana nie tylko interesem, lecz szczerą doktryną polityczną racjonalizującą ryzyko.
E2	niemiecka-zaleznosc-rosyjski-gaz	Niemiecka polityka gazowa utrwaliła zależność infrastrukturalnie mimo rosnących sygnałów ryzyka politycznego.
E2	nowe-vs-stare-kraje-czlonkowskie	Europa Środkowa i Bałtycy wcześniej traktowali rosyjski gaz jako zagrożenie; część Zachodu jako niskie ryzyko handlowe.
E2	kryzysy-moralnosc-solidarnosc-sauve-qui-peut	Kryzys może prowadzić do solidarności albo oportunizmu; decydują nie tylko substytuty, lecz także zdolność koordynacji.
E2	1973-vs-2022	1973 wzmocnił transakcyjność, 2022 przyspieszył europejski decoupling dzięki technologii i istniejącym instytucjom wspólnego działania.
E2	asymetria-kosztow-transformacji	Koszty szoków najmocniej obciążają państwa bez rezerw, własnej podaży i kapitału; energia rozproszona zmniejsza tę zależność.
E2	podsumowanie-korekt	Dwie główne korekty: chiński monopol eroduje wolniej, a solidarność wymaga substytutu technologicznego oraz instytucji koordynacyjnych.
