section_id	document_id	collection	document_code	section_order	title_pl	title_en	description_pl	description_en
1	1	rosja	A1	1	Kolumbryna 🐙	Kolumbryna 🐙	Systemowa analiza degradacji Rosji, logiki przetrwania Putina, rozpadu Iranu, transformacji energetycznej i narzędzi analitycznych. Kończy się adversarialną korektą własnych tez.	A systems analysis of Russia's degradation, Putin's survival logic, Iran's disintegration, the energy transition, and analytical tools. It ends with an adversarial correction of its own theses.
2	1	rosja	A1	2	Rozdział 1. Front i spirala OPL — trójkąt spalania	Chapter 1. The Front and the Air-Defence Spiral — the Combustion Triangle	Kurcząca się armia, OPL i uderzenia w rafinerie tworzą sprzężenie degradujące front i zaplecze.	A shrinking army, air defence and strikes on refineries form a feedback loop that degrades both the front and the rear.
3	1	rosja	A1	3	Rozdział 2. Arsenał nuklearny — odstraszanie na papierze	Chapter 2. The Nuclear Arsenal — Deterrence on Paper	Odstraszanie pozostaje, lecz starzejące się nośniki i opóźniony Sarmat ograniczają status supermocarstwa.	Deterrence remains, but ageing delivery systems and the delayed Sarmat programme constrain Russia's superpower status.
4	1	rosja	A1	4	Rozdział 3. Budżet, NWF i paradoks Hormuz	Chapter 3. The Budget, the NWF and the Hormuz Paradox	Wojenny budżet, szybki deficyt i kurczący się NWF zderzone z paradoksem chwilowych zysków z drogiej ropy.	A wartime budget, a rapidly widening deficit and a shrinking NWF collide with the paradox of temporary gains from expensive oil.
5	1	rosja	A1	5	Rozdział 4. Eksport, dewizy i majątek — co jeszcze działa	Chapter 4. Exports, Foreign Currency and Assets — What Still Works	Utrata europejskiego gazu, degradacja eksportu i shadow fleet ograniczają trwały dopływ dewiz.	The loss of European gas markets, degrading exports and the shadow fleet limit the durable inflow of foreign currency.
6	1	rosja	A1	6	Rozdział 5. Infrastruktura się sypie — kolej, rury, samoloty	Chapter 5. Infrastructure Is Falling Apart — Railways, Pipelines, Aircraft	Kolej, rurociągi i lotnictwo ujawniają kumulację wieloletnich zaniedbań, braków części i zdolności odtworzeniowych.	Railways, pipelines and aviation reveal the accumulation of years of neglect, parts shortages and weak replacement capacity.
7	1	rosja	A1	7	Rozdział 6. Społeczeństwo na krawędzi — brain drain, pensje, policja	Chapter 6. Society on the Edge — Brain Drain, Wages, Police	Brain drain, presja płacowa i wakaty w policji osłabiają zdolność państwa do obsługi i kontroli społeczeństwa.	Brain drain, wage pressure and police vacancies weaken the state's capacity to serve and control society.
8	1	rosja	A1	8	Rozdział 7. Bestiariusz — 24 szare nosorożce i ich sprzężenia	Chapter 7. Bestiary — 24 Grey Rhinos and Their Feedback Loops	24 równoległe procesy erozyjne potraktowane jako jeden sprzężony system, nie lista osobnych kryzysów.	Twenty-four parallel erosion processes are treated as one coupled system, not as a list of separate crises.
9	1	rosja	A1	9	Rozdział 8. Patologia informacyjna i dlaczego nie Korea Północna	Chapter 8. Information Pathology and Why This Is Not North Korea	Patologia informacyjna dyktatury i granice analogii Rosji z Koreą Północną.	The information pathology of dictatorship and the limits of comparing Russia with North Korea.
10	1	rosja	A1	10	Rozdział 9. Chemia pożarów, uzależnienie i sezonowość	Chapter 9. Fire Chemistry, Addiction and Seasonality	Pożary i backdraft jako model opóźnionej katastrofy; uzależnienie i sezonowość wzmacniają ryzyko.	Fire and backdraft as a model of delayed catastrophe; addiction and seasonality amplify the risk.
11	1	rosja	A1	11	Rozdział 10. Jest już za późno — konkluzja Części I	Chapter 10. It Is Already Too Late — Conclusion to Part I	Synteza Części I: system przekroczył punkt łatwej autokorekty; dalsze trajektorie ujęte probabilistycznie.	Part I synthesis: the system has passed the point of easy self-correction; further trajectories are framed probabilistically.
12	1	rosja	A1	12	Rozdział 11. Dlaczego to nie jest pytanie o pieniądze	Chapter 11. Why This Is Not a Question of Money	Putin oceniany nie przez dobro Rosji, lecz przez osobistą funkcję celu dyktatora bez bezpiecznej emerytury.	Putin is assessed not through Russia's welfare, but through the personal objective function of a dictator with no safe retirement.
13	1	rosja	A1	13	Rozdział 12. Zasoby, skreślenia i dziewięć scenariuszy desperacji	Chapter 12. Resources, Write-Offs and Nine Scenarios of Desperation	Pozostałe zasoby i dziewięć scenariuszy desperacji, od dealu politycznego po eskalację i scorched earth.	Remaining resources and nine desperation scenarios, from a political deal to escalation and scorched earth.
14	1	rosja	A1	14	Rozdział 13. Kiedy elity odłączą się od Putina?	Chapter 13. When Will the Elites Detach from Putin?	Moment, w którym koszt lojalności elit wobec Putina przewyższa koszt odejścia.	The point at which the cost of elite loyalty to Putin exceeds the cost of defection.
15	1	rosja	A1	15	Rozdział 14. Rozpad irańskiej państwowości i koncepcja operacyjna	Chapter 14. The Disintegration of Iranian Statehood and an Operational Concept	Rozpad koordynacji Iranu otwiera warianty Aras–Zagros i przesuwa układ Kaukazu oraz Zatoki.	The breakdown of Iranian coordination opens Aras–Zagros variants and shifts the balance in the Caucasus and the Gulf.
16	1	rosja	A1	16	Rozdział 15. Mapa aktorów i ryzyka krytyczne	Chapter 15. Actor Map and Critical Risks	Interesy kluczowych aktorów, ich zbieżności i sprzeczności oraz ryzyka, z materiałem jądrowym na czele.	The interests of key actors, their convergences and conflicts, and critical risks, with nuclear material at the top of the list.
