dokument_kod	anchor	opis
A1	kolumbryna	Systemowa analiza degradacji Rosji, logiki przetrwania Putina, rozpadu Iranu, transformacji energetycznej i narzędzi analitycznych. Kończy się adversarialną korektą własnych tez.
A1	front-spirala-opl	Kurcząca się armia, OPL i uderzenia w rafinerie tworzą sprzężenie degradujące front i zaplecze.
A1	arsenal-nuklearny	Odstraszanie pozostaje, lecz starzejące się nośniki i opóźniony Sarmat ograniczają status supermocarstwa.
A1	budzet-nwf-hormuz	Wojenny budżet, szybki deficyt i kurczący się NWF zderzone z paradoksem chwilowych zysków z drogiej ropy.
A1	eksport-dewizy-majatek	Utrata europejskiego gazu, degradacja eksportu i shadow fleet ograniczają trwały dopływ dewiz.
A1	infrastruktura-kolej-rury-samoloty	Kolej, rurociągi i lotnictwo ujawniają kumulację wieloletnich zaniedbań, braków części i zdolności odtworzeniowych.
A1	spoleczenstwo-na-krawedzi	Brain drain, presja płacowa i wakaty w policji osłabiają zdolność państwa do obsługi i kontroli społeczeństwa.
A1	bestiariusz-szare-nosorozce	24 równoległe procesy erozyjne potraktowane jako jeden sprzężony system, nie lista osobnych kryzysów.
A1	patologia-informacyjna	Patologia informacyjna dyktatury i granice analogii Rosji z Koreą Północną.
A1	chemia-pozarow-uzaleznienie-sezonowosc	Pożary i backdraft jako model opóźnionej katastrofy; uzależnienie i sezonowość wzmacniają ryzyko.
A1	za-pozno-konkluzja-czesci-i	Synteza Części I: system przekroczył punkt łatwej autokorekty; dalsze trajektorie ujęte probabilistycznie.
A1	nie-pytanie-o-pieniadze	Putin oceniany nie przez dobro Rosji, lecz przez osobistą funkcję celu dyktatora bez bezpiecznej emerytury.
A1	zasoby-skreslenia-scenariusze-desperacji	Pozostałe zasoby i dziewięć scenariuszy desperacji, od dealu politycznego po eskalację i scorched earth.
A1	elity-odlaczaja-sie-od-putina	Moment, w którym koszt lojalności elit wobec Putina przewyższa koszt odejścia.
A1	rozpad-iranu-koncepcja-operacyjna	Rozpad koordynacji Iranu otwiera warianty Aras–Zagros i przesuwa układ Kaukazu oraz Zatoki.
A1	mapa-aktorow-ryzyka-krytyczne	Interesy kluczowych aktorów, ich zbieżności i sprzeczności oraz ryzyka, z materiałem jądrowym na czele.
A1	hanza-2-0	Hanza 2.0 jako porządek regionalny utrzymywany interesami i kapitałem, bez jednego architekta.
A1	od-ormuzu-do-panelu	Szok Ormuz jako impuls do substytucji ropy i gazu oraz przyspieszenia elektryfikacji i OZE.
A1	monopole-topologia-wladzy	Porównanie monopolu saudyjskiego i chińskiego oraz przejście od scentralizowanej energii do bardziej płaskiej topologii władzy.
A1	disinfolklore-dark-legitimacy	Disinfolklore i dark legitimacy jako narzędzia opisu dezinformacji i paradoksalnego wzmacniania dyktatury przez ujawnianie patologii.
A1	zrodla-etyka-granice-poznania	Źródła, bias, etyka analizy wojny i jawne granice tego, co można uczciwie wnioskować.
A1	steelmanning-systemu	Najmocniejsze argumenty za trwałością systemu: Chiny, inercja, zdolność adaptacji i zmęczenie Zachodu.
A1	disinfolklore-swot-przesluchanie	SWOT Disinfolklore i adversarialne przesłuchanie metody pod kątem błędów, nadużyć i falsyfikowalności.
A1	zrewidowana-konkluzja	Zrewidowana konkluzja po steelmanningu: analiza jako mapa scenariuszy i prawdopodobieństw, nie precyzyjny GPS.
