audio_id,nazwa
0025,0025 - Dua Lipa - Dua Lipa - Be The One (Official Music Video)
0043,0043 - Gossip Music Official - Gossip - Move in the Right Direction (Official Video)
0054,"0054 - Nosowska - Uciekaj, Moje Serce"
0061,0061 - Dee Lav - Dee Lav - My Russomisia Is Stored In My Tits (Official Lyric Video)
0062,0062 - Dee Lav - Dee Lav - Razor (Official Lyric Video)
0086,0086 - Lily Allen - Lily Allen ｜ Not Fair (Official Video)
0089,0089 - Nelly Furtado - Nelly Furtado - All Good Things (Come To An End) (US Version) (Official Music Video)
0104,0104 - Alex_Lifeson - Wanda i Banda - Hi Fi Superstar
0105,0105 - The Notorious B.I.G. - Hypnotize (2007 Remaster)
0109,"0109 - Beata Ślusarek - Potężna magia obfitości – Uwolnienie od zazdrości, klątw, złorzeczeń, obciążeń..."
0124,0124 - Madonna - Madonna - Hung Up (Official Video) [HD]
0144,0144 - agata44poison - Obywatel G.C. - Tak tak... To ja.
0154,0154 - widow666maker - Kombi - Słodkiego Miłego Życia (HQ)
0158,0158 - Republika - Telefony (Live)
0163,0163 - agnethafan - Izabela Trojanowska ⧸ Wszystko czego dziś chcę
0166,0166 - ART2 Music - FISZ EMADE TWORZYWO - Telefon
0169,0169 - Mystic Production TV - Julia Marcell - Matrioszka (official video)
0175,0175 - Lady Pank - Na co komu dziś
0193,0193 - Diablo Swing Orchestra - Balrog Boogie
0207,0207 - Indian Askin - Indian Askin - Deep End
0224,0224 - sanah - sanah - Szampan (Official Video)
0249,0249 - smithandburrows - Smith & Burrows - All The Best Moves
0263,0263 - Eric Clapton - Eric Clapton - Layla [Unplugged...Over 30 Years Later] (Official Live Video)
0268,0268 - S.P. RECORDS - STRACHY NA LACHY - Piła tango [OFFICIAL VIDEO]
0271,0271 - NA - The Doors - Riders on the Storm (Official Audio)
0276,0276 - The Police - The Police - Message In A Bottle (Official Music Video)
0286,0286 - Dire Straits - Dire Straits - Sultans Of Swing (Official Music Video)
0291,0291 - This Is Queen - Another One Bites The Dust (Remastered 2011)
0293,0293 - Sting - Sting - Englishman In New York
0298,0298 - Fueled By Ramen - twenty one pilots： Stressed Out [OFFICIAL VIDEO]
0308,0308 - Gossip Music Official - Gossip - Heavy Cross (Official Video)
0310,0310 - DO IT YOURSELF - GALA - Freed from desire [Official 4K Video]
0319,0319 - Badmarsh & Shri - The Air I Breathe
0332,0332 - cruzn001 - Federico Aubele - Somewhere Else (featuring Melody Gardot)
0360,0360 - Awa Ly - Awa Ly-  Close Your Eyes
0402,0402 - Cocoon - Vultures
0427,0427 - florencemachine - Florence + The Machine - You've Got the Love
0456,0456 - mélissa laveaux - Melissa Laveaux - Needle In The Hay
0471,0471 - Joel Corry - Joel Corry x Da Hool - The Parade
0485,0485 - Amy Macdonald - Amy Macdonald - This is the Life
0490,0490 - MadeinPolskaTVP - ŁĄKI ŁAN - JAMMIN' LIVE @ Made in Polska
0491,0491 - Avicii - Avicii - Wake Me Up (Official Video)
0573,0573 - Nick Cave & The Bad Seeds - Nick Cave & The Bad Seeds - Red Right Hand (Official Video)
0589,"0589 - MeskieGranie - Męskie Granie Orkiestra 2018 (Kortez, Podsiadło, Zalewski) – Początek (LIVE) Official Video"
0591,0591 - NOSOWSKA - NOSOWSKA - Ja pas! (Official Video)
0596,0596 - Jeanette - Jeanette - Porque te vas
0616,0616 - Riikka - Ievan polkka (Video Mix)
0663,"0663 - MaliaVEVO - Malia, Boris Blank - I Feel It Like You"
0707,0707 - Zakopower - Zakopower - Galop (Official Video)
0713,0713 - KręciołaTV - Maria Peszek - Sorry Polsko ⧸ Woodstock 2013
0723,0723 - Lenny & de Wespen - Lenny & de Wespen featuring Jack Parow --- Zomer van ons leven
0724,0724 - Celine Dion - Céline Dion - A New Day Has Come (Official HD Video)
0739,0739 - KISS - Kiss - I Was Made For Lovin' You
0745,0745 - T.Love - Pielgrzym (Radio Edit)
0753,"0753 - Peter Schilling - Peter Schilling - Major Tom (Völlig losgelöst) (SWR 1 Hitparade, Official Live Video)"
0805,0805 - Artur Andrus - Cieszyńska
0823,0823 - Maanam - Jeśli Chcesz (2011 Remaster)
0827,0827 - Parov Stelar - Parov Stelar - Lost In Amsterdam (Official Audio)
0841,0841 - Mystic Production TV - Julia Marcell - Tarantino (Official Video)
0887,"0887 - Chart Collective, Chart Collective - Get the Party Started (Originally Performed By Shirley Bassey) (Full Vocal Version)"
