term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
AA	Alcoholics Anonymous	keyword		1	alcoholics_anonymous	istnieje w SQL
abstrakcja	abstraction	keyword		2	abstraction	istnieje w SQL
absurd	absurdity	keyword		3	absurdity	istnieje w SQL
adaptacja społeczna	social adaptation	keyword		4	social_adaptation	istnieje w SQL
akceptacja neuroróżnorodności	neurodiversity acceptance	keyword		5	neurodiversity_acceptance	istnieje w SQL
aktywizacja behawioralna	behavioral activation	keyword		6	behavioral_activation	istnieje w SQL
aleksytymia	alexithymia	keyword		7	alexithymia	istnieje w SQL
alokacja	allocation	keyword		8	allocation	istnieje w SQL
analiza kontekstu	context analysis	keyword		9	context_analysis	istnieje w SQL
anhedonia	anhedonia	keyword		10	anhedonia	istnieje w SQL
antymateria	antimatter	keyword		11	antimatter	istnieje w SQL
antyskuteczność	counterproductivity	keyword		12	counterproductivity	istnieje w SQL
Apple	Apple	keyword		13	apple	istnieje w SQL
arbiter prawdy	truth arbiter	keyword		14	truth_arbiter	istnieje w SQL
architektura	architecture	keyword		15	architecture	istnieje w SQL
architektura informacji	information architecture	keyword		16	information_architecture	istnieje w SQL
architektura pamięci	memory architecture	keyword		17	memory_architecture	istnieje w SQL
architektura poznawcza	cognitive architecture	keyword		18	cognitive_architecture	istnieje w SQL
architektura systemu	system architecture	keyword		19	system_architecture	istnieje w SQL
architektura wiedzy	knowledge architecture	keyword		20	knowledge_architecture	istnieje w SQL
asertywność	assertiveness	keyword		21	assertiveness	istnieje w SQL
asymetria relacyjna	relational asymmetry	keyword		22	relational_asymmetry	istnieje w SQL
atrybucja	attribution	keyword		23	attribution	istnieje w SQL
atypowe przetwarzanie bólu	atypical pain processing	keyword		24	atypical_pain_processing	istnieje w SQL
automatyzacja pamięci	memory automation	keyword		25	memory_automation	istnieje w SQL
autonomia	autonomy	keyword		26	autonomy	istnieje w SQL
bariery diagnostyczne	diagnostic barriers	keyword		27	diagnostic_barriers	istnieje w SQL
bariery wykonawcze	executive-function barriers	keyword		28	executive_function_barriers	istnieje w SQL
Bell Labs	Bell Labs	keyword		29	bell_labs	istnieje w SQL
bezpieczny workflow	safe workflow	keyword		30	safe_workflow	istnieje w SQL
bezstronność	impartiality	keyword		31	impartiality	istnieje w SQL
bias poznawczy	cognitive bias	keyword		32	cognitive_bias	istnieje w SQL
bimodalność mówienia	bimodal speech pattern	keyword		33	bimodal_speech_pattern	istnieje w SQL
bliscy	significant others	keyword		34	significant_others	istnieje w SQL
bliskość	intimacy	keyword		35	intimacy	istnieje w SQL
blokada wykonawcza	executive shutdown	keyword		36	executive_shutdown	istnieje w SQL
błąd AI	AI error	keyword		37	ai_error	istnieje w SQL
błędna atrybucja źródła	source attribution error	keyword		38	source_attribution_error	istnieje w SQL
bodźce	stimuli	keyword		39	stimuli	istnieje w SQL
Boltzmann	Boltzmann	keyword		40	boltzmann	istnieje w SQL
bootstrap	bootstrap	keyword		41	bootstrap	istnieje w SQL
ból	pain	keyword		42	pain	istnieje w SQL
CBT	cognitive behavioral therapy	keyword		43	cognitive_behavioral_therapy	istnieje w SQL
Chapman	Chapman	keyword		44	chapman	istnieje w SQL
chroniczne zmęczenie	chronic fatigue	keyword		45	chronic_fatigue	istnieje w SQL
ciągłość	continuity	keyword		46	continuity	istnieje w SQL
codzienność	daily life	keyword		47	daily_life	istnieje w SQL
cykle	cycles	keyword		48	cycles	istnieje w SQL
cykliczne zainteresowania	cyclical interests	keyword		49	cyclical_interests	istnieje w SQL
cykliczność	cyclicity	keyword		50	cyclicity	istnieje w SQL
czasoprzestrzeń	spacetime	keyword		51	spacetime	istnieje w SQL
częstość występowania	prevalence	keyword		52	prevalence	istnieje w SQL
człowiek w pętli	human-in-the-loop	keyword		53	human_in_the_loop	istnieje w SQL
czynniki rokownicze	prognostic factors	keyword		54	prognostic_factors	istnieje w SQL
dane administracyjne	administrative data	keyword		55	administrative_data	istnieje w SQL
dane populacyjne	population data	keyword		56	population_data	istnieje w SQL
dane systemowe	system data	keyword		57	system_data	istnieje w SQL
decyzje techniczne	technical decision-making	keyword		58	technical_decision_making	istnieje w SQL
definicja operacyjna	operational definition	keyword		59	operational_definition	istnieje w SQL
degradacja informacji	information degradation	keyword		60	information_degradation	istnieje w SQL
dekodowanie społeczne	social decoding	keyword		61	social_decoding	istnieje w SQL
demografia	demographics	keyword		62	demographics	istnieje w SQL
depresja	depression	keyword		63	depression	istnieje w SQL
diagnostyka	diagnostic assessment	keyword		64	diagnostic_assessment	istnieje w SQL
diagnostyka dorosłych	adult diagnostic assessment	keyword		65	adult_diagnostic_assessment	istnieje w SQL
diagnostyka różnicowa	differential diagnosis	keyword		66	differential_diagnosis	istnieje w SQL
diagnoza	diagnosis	keyword		67	diagnosis	istnieje w SQL
diagnozy systemowe	system-level diagnosis	keyword		68	system_level_diagnosis	istnieje w SQL
długie rozmowy	extended conversations	keyword		69	extended_conversations	istnieje w SQL
dobór próby	sampling	keyword		70	sampling	istnieje w SQL
Donald Knuth	Donald Knuth	keyword		71	donald_knuth	istnieje w SQL
dopamina	dopamine	keyword		72	dopamine	istnieje w SQL
dopasowanie środowiska	person–environment fit	keyword		73	person_environment_fit	istnieje w SQL
dopasowanie terapii	treatment matching	keyword		74	treatment_matching	istnieje w SQL
dorosłość	adulthood	keyword		75	adulthood	istnieje w SQL
dosłowność	literal interpretation	keyword		76	literal_interpretation	istnieje w SQL
dostępność specjalistów	access to specialists	keyword		77	access_to_specialists	istnieje w SQL
doświadczenie wewnętrzne	internal experience	keyword		78	internal_experience	istnieje w SQL
dotyk	touch	keyword		79	touch	istnieje w SQL
drobne znaleziska	minor findings	keyword		80	minor_findings	istnieje w SQL
druga zasada termodynamiki	second law of thermodynamics	keyword		81	second_law_of_thermodynamics	istnieje w SQL
duże zbiory danych	big data	keyword		82	big_data	istnieje w SQL
dyfuzja tożsamości	identity diffusion	keyword		83	identity_diffusion	istnieje w SQL
