section_id	section_title_en	description_en
1	Kolumbryna 🐙	A systems analysis of Russia's degradation, Putin's survival logic, Iran's disintegration, the energy transition, and analytical tools. It ends with an adversarial correction of its own theses.
2	Chapter 1. The Front and the Air-Defence Spiral — the Combustion Triangle	A shrinking army, air defence and strikes on refineries form a feedback loop that degrades both the front and the rear.
3	Chapter 2. The Nuclear Arsenal — Deterrence on Paper	Deterrence remains, but ageing delivery systems and the delayed Sarmat programme constrain Russia's superpower status.
4	Chapter 3. The Budget, the NWF and the Hormuz Paradox	A wartime budget, a rapidly widening deficit and a shrinking NWF collide with the paradox of temporary gains from expensive oil.
5	Chapter 4. Exports, Foreign Currency and Assets — What Still Works	The loss of European gas markets, degrading exports and the shadow fleet limit the durable inflow of foreign currency.
6	Chapter 5. Infrastructure Is Falling Apart — Railways, Pipelines, Aircraft	Railways, pipelines and aviation reveal the accumulation of years of neglect, parts shortages and weak replacement capacity.
7	Chapter 6. Society on the Edge — Brain Drain, Wages, Police	Brain drain, wage pressure and police vacancies weaken the state's capacity to serve and control society.
8	Chapter 7. Bestiary — 24 Grey Rhinos and Their Feedback Loops	Twenty-four parallel erosion processes are treated as one coupled system, not as a list of separate crises.
9	Chapter 8. Information Pathology and Why This Is Not North Korea	The information pathology of dictatorship and the limits of comparing Russia with North Korea.
10	Chapter 9. Fire Chemistry, Addiction and Seasonality	Fire and backdraft as a model of delayed catastrophe; addiction and seasonality amplify the risk.
11	Chapter 10. It Is Already Too Late — Conclusion to Part I	Part I synthesis: the system has passed the point of easy self-correction; further trajectories are framed probabilistically.
12	Chapter 11. Why This Is Not a Question of Money	Putin is assessed not through Russia's welfare, but through the personal objective function of a dictator with no safe retirement.
13	Chapter 12. Resources, Write-Offs and Nine Scenarios of Desperation	Remaining resources and nine desperation scenarios, from a political deal to escalation and scorched earth.
14	Chapter 13. When Will the Elites Detach from Putin?	The point at which the cost of elite loyalty to Putin exceeds the cost of defection.
15	Chapter 14. The Disintegration of Iranian Statehood and an Operational Concept	The breakdown of Iranian coordination opens Aras–Zagros variants and shifts the balance in the Caucasus and the Gulf.
16	Chapter 15. Actor Map and Critical Risks	The interests of key actors, their convergences and conflicts, and critical risks, with nuclear material at the top of the list.
17	Chapter 16. Hanseatic League 2.0 — Order Without an Architect	Hanseatic League 2.0 as a regional order sustained by interests and capital rather than by a single architect.
18	Chapter 17. From Hormuz to the Solar Panel — Structure, Shock and Substitution	The Hormuz shock as an impulse to substitute away from oil and gas and accelerate electrification and renewables.
19	Chapter 18. Monopolies and the Topology of Power	A comparison of Saudi and Chinese monopoly structures and the transition from centralised energy to a flatter topology of power.
20	Chapter 19. Disinfolklore and Dark Legitimacy — Poison and the Dark Side	Disinfolklore and dark legitimacy as tools for describing disinformation and the paradoxical strengthening of dictatorship through exposing pathology.
21	Chapter 20. Sources, Ethics and the Limits of Knowledge	Sources, bias, the ethics of analysing war, and explicit limits on what can be inferred honestly.
22	Chapter 21. Steelmanning the System — China, Inertia, Western Fatigue	The strongest arguments for system durability: China, inertia, adaptive capacity and Western fatigue.
23	Chapter 22. Disinfolklore Under the Microscope — SWOT and Cross-Examination	A SWOT analysis of Disinfolklore and an adversarial cross-examination of the method for errors, abuse and falsifiability.
24	Chapter 23. Revised Conclusion — A Map, Not GPS	A revised conclusion after steelmanning: the analysis as a map of scenarios and probabilities, not a precision GPS.
25	May 2026. Gradually Became Suddenly	An updated analysis of the Russian system's transition from mounting degradation to qualitative change. It connects strikes, logistics, energy, politics and forecast calibration.
26	I. Introduction — What Has Changed Since Kolumbryna	From a refinery monograph to a sequential analysis of Russia's systemic decay.
27	Quantitative Change — More of the Same, but Exponentially	An exponential increase in the number, frequency and reach of Ukrainian strikes.
28	Qualitative Change — Every Aspect Required Its Own Chapter	The campaign expands from refineries to logistics, Crimea, signalling and the fuel market.
29	A Document About How the Document Stopped Being What It Was Supposed to Be	A shift from a chronicle of strikes to an analysis of systemic decay.
30	II. Strike List — Fortnightly Periods, Weekly from May Onward	An anchor section after moving the full strike chronology into a separate file.
31	III. Methodological Note — Inference Under Missing Data	Scenario-based inference under unknown data, without guessing the missing variables.
32	IV. Target Gallery — Analysis of the Most Interesting Strikes	Selected strikes as examples of the mechanisms and logic of the campaign as a whole.
33	Non-Kinetic Targets — Signalling, Doctrine, Decapitation	Pressure on perception, command and morale rather than on physical targets alone.
34	V. Crimea as a Side Effect — The Geometry of Elimination	Crimea's isolation as a by-product of the campaign against logistics and energy.
35	Three Supply Vectors	The land, maritime and bridge-based supply channels to Crimea and their degradation.
36	Removing Civilians from the R-280 — Concession, Not Management	Removing civilians from the R-280 as a forced Russian logistical compromise.
37	The Decree Is an Involuntary Admission That the Drone Beat the Shield	Removing civilians from the R-280 as a forced abandonment of the shield.
38	The Bridge as Bait — Why the Sequence Is Constrained	Leaving the Kerch Bridge untouched ties down Russian air defence and exposes other targets.
39	The Kerch Bridge at the Meta Level — Earlier, for Dessert, or Continuous Pressure (and Why This Is Poker Now, Not Chess)	Three strategies for the bridge: strike earlier, save it for the finale, or maintain permanent pressure.
40	Why a Crimean Port Does Not Require a Single Drone	Cutting off Crimean ports by striking the Russian end of the maritime route.
41	The Other End of the Chain on Both Seas — Register of Russian and Occupied Ports (Excluding Crimea)	Russian and occupied ports as nodes in the maritime supply chain.
42	Black Sea — Russia's Krasnodar Coast	Black Sea ports in Krasnodar serving exports and wartime logistics.
43	Sea of Azov — Russian Coast	Russian Azov ports as the other end of the logistics chain.
44	Sea of Azov — Occupied Ports (Mariupol, Berdiansk)	Mariupol and Berdiansk as occupied transshipment nodes on the Sea of Azov.
45	Crimea Is Turning from a Peninsula into an Island	The gradual loss of connections is turning Crimea into a logistical island.
46	Slowly Cutting Crimea Off from Electricity — the Fourth Vector, Hidden in the Thicket	Energy as a fourth, parallel vector of Crimea's isolation.
47	The Material Result — Fuel Coupons in Crimea	Fuel rationing as a tangible symptom of the peninsula's mounting isolation.
48	Crimea Is Not a Separate Theatre — It Is an Externality	Crimea's isolation as a side effect of the broader logistics-and-oil campaign.
49	Threads Continued in Other Sections	Pointers to further analyses of Crimea: signalling, fuel and energy.
50	VI. Evolution of Target Typology — What Is Diversifying	How the campaign is expanding into new target classes and new theatres.
51	Matrix 1: Functional Target Categories	Changes in active target categories from January to June 2026.
52	Matrix 2: Geographic Vectors	The campaign shifting among the Baltic, the south, the centre, the Urals and occupied territories.
53	Evolutionary Synthesis — What Changed Between Periods	Five qualitative thresholds in the campaign's maturation from January to June.
54	Synthetic Observations (Since 4 January 2026)	The main patterns: reach, diversification, repair compression and air-defence overload.
55	Olexandrivka Front — Territory as a New Target Category	Recovered territory as a new category of outcome produced by the systemic campaign.
56	Why the Olexandrivka Front Belongs in This Analysis	Olexandrivka as a material consequence of degrading Russian logistics and air defence.
57	VII. Budanov — The Grammar of Decay and Reconstruction	Budanov as a framework for reading Russia's decay, information dynamics and Ukraine's reconstruction.
58	From “Victory” to “Unity” — Reading Through Omissions	A shift in Budanov's vocabulary: less “victory”, more unity and internal risks.
59	Negative Space as a Method — and as a Mirror for the “Four Modes”	Reading absence as data: missing words, actions and deliveries.
60	A Turning Point Named Four Years Too Early — Calibration Against One's Own Track Record	A 2022 forecast that was directionally right but roughly four years premature.
61	The Simultaneity of Contradictions — Nonlinear Logic	Contradictory states treated as simultaneously true, without forcing a binary choice.
62	Stoicism as an Operational Mask	“Stoicism” as a useful mask for Budanov's nonlinear mode of operation.
63	Knowing the Rules vs Understanding the Rules	Understanding rules makes it possible to create new categories rather than merely break existing ones.
64	Unity as an Operating System, Not Obedience	Situational unity as the capacity for joint decision-making, not permanent obedience.
65	Antifragile vs Dark Legitimacy — Reversing the Russian Model	Ukrainian unity as antifragility against Russian dark legitimacy.
66	“After a Tupolev, You Don't Go to the Tupolev Shop” — the Broken-Replacement-Chain Principle	Irreplaceable Soviet platforms: every loss permanently reduces the available stock.
67	A Note in the Margin — the A-50 Story as Precedent	Two lost A-50s as a precedent for irreversible degradation of AWACS capability.
68	Dnipro Map, 9 April 2026 — Three Layers of Falsification in a Single Artefact	The Dnipro map shows three layers of falsifying the picture of the front inside the system.
69	Saldo and the Siege of Leningrad — Self-Exposure Through Language	Saldo's propaganda metaphor inadvertently confirms the isolation of Russian logistics.
70	The Voenkory Crack — Splitting of the Milblogger Layer, March–May 2026	The fragmentation of Russian milbloggers as a signal that narrative discipline is breaking down.
71	Sokolenko — “Asked That No One Be Blamed” as a Grammar of Omission	The announcement of Sokolenko's death analysed through the grammar of omission and the formula of blame.
72	Sokolenko Is Not an Exception — the Soviet-Russian Tradition of Elite “Suicides”	Sokolenko placed within the broader pattern of unexplained deaths among Russian elites.
73	838 Pages — Precision as a Weapon	A precise count of killed officers as a tool of credibility and pressure.
74	The Neurodivergence Hypothesis for Intelligence Chiefs	Neurodivergence as a possible source of cognitive patterns useful in intelligence work.
75	VIII. Strategic Signalling and Asymmetry of Optionality	Strikes as strategic communication and as an asymmetry in the options available to both sides.
76	Methodological Assumptions	Professional multi-audience communication: the sender designs for the recipients' possible interpretations.
77	Case Study: Zelenskyy's Speech, 17 May 2026	Zelenskyy's 17 May statement as a signal of mature long-range capability.
78	A Multi-Audience Message — Interpretation Paths	The same statement read differently by Ukraine, Russia, Beijing and corporations.
79	Sequence: Commitment → Demonstration → Cumulative Effect	Political commitments first, then a capability demonstration to maximise signalling value.
80	The Hold-and-Show Logic:	Agreements made before the demonstration increase surplus value and legitimise the choice of partners.
81	Signals Supporting the Deliberate-Holdback Thesis:	Traces of tempo control: ammunition selection, a selective pause and concealment of maximum capability.
82	Alternative: “July Brought Forward by the War in Iran”	May politically accelerates the operational summer plan after the shock of the war in Iran.
83	The Reveal Campaign (17–23 May 2026)	A week-long campaign revealing capability, intelligence, weapons, doctrine and expectations.
84	Key Structural Observations:	Multiple channels and senders as evidence of a coordinated communications campaign.
85	Second Reveal Campaign (25–27 May 2026) — the Belarus Axis	Belarus as an axis of a synchronised diplomatic, deterrent and sanctions campaign.
86	Crimea as a Logistical Island — Qualitative Transformation of the Corridor	The land corridor to Crimea shifts from degradation to the effective loss of function.
87	The European Institutional Axis — EU Conditions for Russia	The EU formalises conditions for Russia and reinforces Ukraine's framework of pressure.
88	The Diplomatic Test — Who Stayed in Kyiv	The presence of foreign diplomats in Kyiv as a test of willingness to bear risk.
89	Galați — a Russian Drone in an Apartment Block in a NATO State	A Russian drone in Romania as a test of the boundary between incident and NATO response.
90	Gabala — Aliyev as a Candidate for Alternative Mediation	Aliyev as an alternative mediator thanks to Azerbaijan's growing autonomy from Moscow.
91	Five Lost Elections — the Fifth Front of Influence Erosion	A series of political defeats as a separate front in the erosion of Russian influence.
92	Asymmetry of Legitimate Target Sets (MTK vs PA-I) — and Capture of the Ceasefire Frame, 4–9 May	A contrast in target legality and Ukraine's capture of the ceasefire-and-sanctions frame.
93	The “Long-Range Sanctions” Doctrine — Named on 16 May, Formalised on 30 May	“Long-range sanctions” as a named political framework for Ukrainian deep strikes.
94	Two Orthogonal Processes — Process A (Front Degradation) and Process B (Strangulation)	Two independent processes: degradation of the front today and strangulation of the economy tomorrow.
95	Nyquist's Theorem — Why Tempo Beats OODA (Two Orthogonal Processes)	Two overlapping strike rhythms overload Russia's observation-and-response cycle.
96	Twenty Billion — the Number as a Thesis (Priced, Within Reach, Divisible)	The campaign cost framed as an attainable, divisible strategic investment for Ukraine.
97	P1-SUN — the Same Cheap Asymmetry, Reversed into Defence	Low-cost drone asymmetry reversed from attack into protection of Ukrainian targets.
98	The Kuban Historical Anomaly — What Russia Cannot Admit	Kuban as a problem for Russia's historical narrative and the doctrine of Russkiy Mir.
99	Moscow Floods Every Summer — Three Vectors of One Puddle (Corruption, War, Climate)	Moscow's floods as a combined effect of corruption, wartime pressure and climate.
100	Asymmetry of Optionality (the Value of Having Choices)	Ukraine retains more possible moves; Russia is gradually consuming its own options.
101	The Cost of Ukraine's Strategic Reserve (Approximate Estimate):	An approximate cost of maintaining Ukraine's strategic reserve and freedom of choice.
102	Russia Deliberately Spent Its Optionality:	Russia consumes resources and freedom of action to sustain current pressure.
103	System-Level Conclusion	Ukraine's advantage stems from growing optionality as Russia's choices contract.
104	IX. The Attack on Kyiv as a Response — Reading the Timing	Timing and Oreshnik as keys to reading Russia's response to the campaign.
105	Strikes on Civilians Are Constant — the Variable Is the Moment	Russian attacks on civilians are constant; the chosen timing of retaliation carries the information.
106	Oreshnik — a Signal of Class, Not Routine	Rare use of Oreshnik as a signal of the response's rank, not of its destructive effectiveness.
107	Could Not or Chose Not To — Open Questions	A delayed response: shortage of resources or a shifted Russian reaction threshold.
108	Four Modes of Intent — Asymmetry in Reading Both Sides	Four models of the relationship between intent, action and information distortion.
109	What Oreshnik Communicates — an Addition to the Package or a Separate Sentence?	Oreshnik as a distinct message within a larger missile package.
110	Past or Future — Retaliation or Pre-emption	Whether the missile is retaliation for the past or a warning about the future.
111	The Addressee — Who Was It Sent To?	Comparison of possible audiences; Europe as the leading hypothesis.
112	The Technical Leg — Why Oreshnik Threatens Europe in Particular	A technical gap in European defence against a fast missile with multiple effectors.
