dokument_kod	anchor	opis
A6	tytul	Rosyjski system opiera się na zużywających się zapasach, gdy ukraińska presja działa coraz bardziej strumieniowo. Analiza łączy kryzys paliwowy z pułapką decyzyjną Putina.
A6	czesc-materia	Bilans paliw: utrata slacku, niemal brak stocku, asymetria produktów i rosnące ograniczenia logistyczne.
A6	uderzenie-2806	Jedna fala trafia trzy obiekty naftowe; skalę pożarów potwierdzają dane termiczne.
A6	moce-nominalne	Nominalna moc rafinerii zawyża odporność; faktyczny przerób zostawiał 57–75 Mt luzu.
A6	top-rafinerie	Ranking największych rafinerii pokazuje koncentrację mocy i skalę uszkodzeń do czerwca 2026.
A6	bilans-produktow	Benzyna ma cienki bufor, diesel gruby; ten sam spadek przerobu boli produkty asymetrycznie.
A6	zapasy-magazynowe	Rosja praktycznie nie ma strategicznego stocku paliw; system opiera się na bieżącym przepływie.
A6	drabina-zakazow	Kolejne zakazy eksportu ujawniają ranking niedoboru: benzyna, paliwo lotnicze, potem diesel.
A6	dziura-w-ziemi	Współprodukty nie dławią przerobu; nadwyżki są odpadem, więc spadek throughputu oznacza wymuszone wyłączenia.
A6	offline-slack	Wyłączenia zrównały się z dawnym luzem mocy; kolejne trafienia schodzą już w realną produkcję.
A6	poziomy-kreski	Spadek cywilnego zużycia może być skutkiem racjonowania, nie realnie niższego popytu.
A6	cebula-transportowa	Ocalałe wschodnie rafinerie są daleko; kolej, przepustowość i tabor tworzą kolejne wąskie gardła.
A6	czesc-strategia	Kurczące się zasoby spotykają się z pułapką decydenta, zamkniętym freeze’em i rosnącym ryzykiem ruchu resztkowego.
A6	cztery-osie	Cztery rosyjskie zapasy kurczą się równolegle: paliwo, precyzyjny ogień, lojalność elit i eskalacja.
A6	odczyt-absencja	Brak oczekiwanej reakcji według własnej doktryny jest informacją o realnych ograniczeniach.
A6	generalowie	Selekcja lojalności usuwa kompetentnych dowódców i produkuje fałszywy obraz sytuacji dla Putina.
A6	zablokowana-elita	Elita ma zamknięte wyjście, głos i przeczekanie; pozorna stabilność zwiększa ryzyko nagłego flipu.
A6	szachmat	Freeze jest dla Kremla politycznie trudniejszy niż dalsza wojna: odsłania słabość i uruchamia własny kryzys.
A6	rosja-rowna-putin	Interes państwa rozchodzi się z funkcją celu jedynego realnego decydenta: osobistym przetrwaniem Putina.
A6	gambit-nato	Eskalacja wobec NATO jako ruch resztkowy: narracyjnie łatwiejsza klęska niż przegrana z Ukrainą.
A6	miekkie-ladowanie	Ograniczona klęska wobec NATO mogłaby zachować rosyjską państwowość i dozór nuklearny, degradując Putina.
A6	casus-belli-polska	False flag na wschodniej flance jako sposób przedstawienia eskalacji wobec NATO jako obrony.
A6	paradoks-zapedzenia	Im mniej Rosji zostaje bezpiecznych wyjść, tym atrakcyjniejszy staje się ruch resztkowy o wysokim ryzyku.
A6	advocatus-zebrany	Zebrane zastrzeżenia: degradacja nie oznacza bliskiego końca, a kluczowe tezy są zależne od obecnej konfiguracji.
