term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
zombierewizor	zombie reviewer	neologizm	*			Maćkowy neologizm; pisać konsekwentnie jako “zombie reviewer”.
pomaganie kosztem siebie	helping at your own expense	termin	*			Charakterystyczne sformułowanie tezy AU07.
osoba fundatorska	foundational builder	neologizm	*			Nie tłumaczyć jako startup founder; chodzi o osobę budującą fundament technologiczny.
abstrakcja abstrakcji	abstraction of abstraction	neologizm	*			Zbitka używana dla meta-poziomu.
domknięcie wewnętrzne założeń	internal closure of assumptions	termin	*			Maćkowa fraza modelowa; zachować „closure”.
folk-taksonomia	folk taxonomy	termin	*			Spolszczona zbitka; w EN standardowe folk taxonomy.
support swapping	support swapping	termin	*			Nazwa ND love language; nie tłumaczyć dalej.
koszt tłumaczenia	translation cost	termin	*			Relacyjna metafora kosztu przekładu między kodami ND/NT.
tabliczka ND-status	ND-status notice	neologizm	*			Proponowany standard informacyjny przed terapią.
trójkąt spalania	combustion triangle	termin	*			Maćkowe określenie w analizie systemowej
Hanza 2.0	Hanseatic League 2.0	neologizm	*			Maćkowa nazwa modelu regionalnego
Disinfolklore	Disinfolklore	neologizm	*			Maćkowy termin
dark legitimacy	dark legitimacy	neologizm	*			termin własny / roboczy
cztery tryby	four modes	termin	*			Stała rama interpretacji relacji intencja–działanie–informacja.
asymetria opcjonalności	asymmetry of optionality	termin	*			Maćkowa rama analityczna dotycząca różnicy w dostępnych opcjach działania.
kampania ujawnienia	reveal campaign	termin	*			Skoordynowane ujawnianie zdolności, doktryny i sygnałów.
long-range sanctions	long-range sanctions	termin	*			Nazwana rama ukraińskich uderzeń dalekiego zasięgu; pozostawić po angielsku.
kompresja napraw	repair compression	termin	*			Skracanie okna dostępnego na naprawę między kolejnymi uderzeniami.
wyspa logistyczna	logistical island	termin	*			Stan obszaru, którego połączenia logistyczne są stopniowo odcinane.
patrymonialny grid lock	patrimonial gridlock	neologizm	*			Hybrydowa rama opisująca stabilność reżimu dzięki sieciom klientelistycznym.
detekcja absencji	absence detection	termin	*			Wykorzystywanie brakujących danych lub elementów wzorca jako sygnału.
cascade gradient	cascade gradient	neologizm	*			Maćkowe określenie uporządkowanych ścieżek propagacji skutków w systemie.
demembranizacja perymetru	demembranisation of the perimeter	neologizm	*			Maćkowe określenie stopniowego rozbierania warstw ochronnych/peryferyjnych.
sygnalizacja kalendarzem	calendar-based signalling	termin	*			Wykorzystanie daty zdarzenia jako części komunikatu strategicznego.
kaskada paliwowa	fuel cascade	termin	*			Łańcuch propagujących się braków i awarii w systemie paliwowym.
milczenie strategiczne	strategic silence	termin	*			Luka między wiedzą strategiczną a publicznym językiem decydentów.
doktryna maksymalizacji eskalacji	doctrine of maximising escalation	termin	*			Wyjście z eskalacji przez zwiększanie presji do wymuszenia decyzji.
