tag,definition
sensoryka-przytloczenie,""
sensoryka-szukanie,""
niedopasowanie-spoleczne,""
maskowanie,""
komunikacja-problem,""
samotnosc-preferowana,"Samotnosc jako stan wybierany albo regulujacy; nie zwykla samotnosc wynikajaca z braku relacji."
alexithymia,""
shutdown-meltdown,""
sensoryka-metafora,""
intensywna-percepcja,""
performowanie-roli,""
rutyna-repetycja,""
specjalne-zainteresowanie-osoba,""
racing-thoughts,""
impulsywnosc,""
time-blindness,""
dysfunkcja-wykonawcza,""
hiperfokus,""
bezsennosc-restless,""
emocjonalna-dysregulacja,""
substancja-regulacja,""
nuda-nietolerancja,"Trudnosc znoszenia nudy. Nie to samo co nuda, czyli aktualny stan znudzenia."
intensywnosc-potem-crash,""
zapominanie-gubienie,""
chaos-balagan,""
sprzeczne-potrzeby,""
wyczerpanie-maska,""
za-duzo-i-za-malo,""
podwojna-samotnosc,""
cyklicznosc-wzorzec,""
demand-avoidance,""
milosc,""
cialo,""
seks,"Motyw seksu albo aktu seksualnego jako fizycznego zachowania; nie samo pozadanie, erotyczne napiecie ani czulosc."
samotnosc,""
ciemnosc,""
noc,""
maska,""
substancje,""
ucieczka,""
ogien,""
wolnosc,""
innosc,""
nic-pustka,"Wspolny tag dla motywow niczego i pustki; obejmuje oba blisko zwiazane motywy bez rozdzielania ich na osobne tagi."
mocne-kobiety,""
gniew,""
czas,""
woda,""
dotyk,""
dom,""
tesknota,""
bunt,""
smierc,""
taniec,""
latanie-spadanie,"Wspolny tag dla motywow latania i spadania; obejmuje oba przeciwstawne kierunki ruchu w przestrzeni jako jedna kategorie motywu."
prawda,""
oddech-powietrze,"Wspolny tag dla motywow oddechu i powietrza; obejmuje oba blisko zwiazane motywy cielesno-sensoryczne."
ziemia,""
deszcz,"Osobny od woda. Deszcz i woda moga wystapic jednoczesnie."
sen,"Sen jako stan, przestrzen albo zdarzenie obecne w tekscie."
marzenie,"Wyobrazona, upragniona albo mozliwa rzeczywistosc poza stanem biezacym. Nie to samo co sen."
droga-podroz,"Droga, podroz albo wedrowka jako istotny element tekstu, niezaleznie od tego, czy jest ucieczka, pogonia lub powrotem."
przemiana,"Wyrazne przejscie osoby, relacji albo swiata z jednego stanu w inny."
odrodzenie,"Powstanie na nowo po koncu, rozpadzie, smierci albo wczesniejszym stanie. Mocniejsze i bardziej specyficzne niz sama przemiana."
wspomnienia,"Konkretne obrazy, zdarzenia lub osoby z przeszlosci jako material tekstu."
pamiec,"Pamiec jako zdolnosc, proces albo problem poznawczy; nie konkretne wspomnienia."
ulga,"Przejscie z napiecia lub alarmu do uspokojenia. Wymaga zmiany stanu."
spokoj,"Spokojny stan bez koniecznego wczesniejszego zejscia z napiecia. Nie kazdy spokoj jest ulga."
ulga-odroczona,"Ulga jest dopiero pozniej albo poza zasiegiem: jeszcze nie."
