concept_key	term_pl	term_en	keyword_norm_pl	keyword_norm_en
zombie_reviewer	zombierewizor	zombie reviewer	zombierewizor	zombie reviewer
helping_at_your_own_expense	pomaganie kosztem siebie	helping at your own expense	pomaganie kosztem siebie	helping at your own expense
foundational_builder	osoba fundatorska	foundational builder	osoba fundatorska	foundational builder
abstraction_of_abstraction	abstrakcja abstrakcji	abstraction of abstraction	abstrakcja abstrakcji	abstraction of abstraction
internal_closure_of_assumptions	domknięcie wewnętrzne założeń	internal closure of assumptions	domknięcie wewnętrzne założeń	internal closure of assumptions
folk_taxonomy	folk-taksonomia	folk taxonomy	folk-taksonomia	folk taxonomy
support_swapping	support swapping	support swapping	support swapping	support swapping
translation_cost	koszt tłumaczenia	translation cost	koszt tłumaczenia	translation cost
nd_status_notice	tabliczka ND-status	ND-status notice	tabliczka nd-status	nd-status notice
combustion_triangle	trójkąt spalania	combustion triangle	trójkąt spalania	combustion triangle
hanseatic_league_2_0	Hanza 2.0	Hanseatic League 2.0	hanza 2.0	hanseatic league 2.0
disinfolklore	Disinfolklore	Disinfolklore	disinfolklore	disinfolklore
dark_legitimacy	dark legitimacy	dark legitimacy	dark legitimacy	dark legitimacy
four_modes	cztery tryby	four modes	cztery tryby	four modes
asymmetry_of_optionality	asymetria opcjonalności	asymmetry of optionality	asymetria opcjonalności	asymmetry of optionality
reveal_campaign	kampania ujawnienia	reveal campaign	kampania ujawnienia	reveal campaign
long_range_sanctions	long-range sanctions	long-range sanctions	long-range sanctions	long-range sanctions
repair_compression	kompresja napraw	repair compression	kompresja napraw	repair compression
logistical_island	wyspa logistyczna	logistical island	wyspa logistyczna	logistical island
patrimonial_gridlock	patrymonialny grid lock	patrimonial gridlock	patrymonialny grid lock	patrimonial gridlock
absence_detection	detekcja absencji	absence detection	detekcja absencji	absence detection
cascade_gradient	cascade gradient	cascade gradient	cascade gradient	cascade gradient
demembranisation_of_the_perimeter	demembranizacja perymetru	demembranisation of the perimeter	demembranizacja perymetru	demembranisation of the perimeter
calendar_based_signalling	sygnalizacja kalendarzem	calendar-based signalling	sygnalizacja kalendarzem	calendar-based signalling
fuel_cascade	kaskada paliwowa	fuel cascade	kaskada paliwowa	fuel cascade
strategic_silence	milczenie strategiczne	strategic silence	milczenie strategiczne	strategic silence
doctrine_of_maximising_escalation	doktryna maksymalizacji eskalacji	doctrine of maximising escalation	doktryna maksymalizacji eskalacji	doctrine of maximising escalation
managed_decline	zarządzany upadek	managed decline	zarządzany upadek	managed decline
chinese_component_substitute	chiński substytut komponentowy	Chinese component substitute	chiński substytut komponentowy	chinese component substitute
kinetic_sanctions	sankcje kinetyczne	kinetic sanctions	sankcje kinetyczne	kinetic sanctions
shortest_fuse	najkrótszy zapalnik	shortest fuse	najkrótszy zapalnik	shortest fuse
asymmetry_of_constraints	asymetria ograniczeń	asymmetry of constraints	asymetria ograniczeń	asymmetry of constraints
inventory_of_options	inwentarz opcji	inventory of options	inwentarz opcji	inventory of options
stock_vs_flow	zapas kontra strumień	stock vs flow	zapas kontra strumień	stock vs flow
transport_onion	cebula transportowa	transport onion	cebula transportowa	transport onion
sole_decision_maker_trap	pułapka jedynego decydenta	sole decision-maker trap	pułapka jedynego decydenta	sole decision-maker trap
residual_move	ruch resztkowy	residual move	ruch resztkowy	residual move
cornering_paradox	paradoks zapędzenia	cornering paradox	paradoks zapędzenia	cornering paradox
phenomenology_of_state_ending	fenomenologia końca państwa	phenomenology of state ending	fenomenologia końca państwa	phenomenology of state ending
internal_binding	spoiwo wewnętrzne	internal binding	spoiwo wewnętrzne	internal binding
strength_sensor	czujnik siły	strength sensor	czujnik siły	strength sensor
archetypal_disinfolklore_literacy	Archetypal Disinfolklore Literacy	Archetypal Disinfolklore Literacy	archetypal disinfolklore literacy	archetypal disinfolklore literacy
incoming_outgoing_troll_radars	Incoming-Outgoing Troll Radars	Incoming–Outgoing Troll Radars	incoming-outgoing troll radars	incoming–outgoing troll radars
witch_switch	Witch Switch	Witch Switch	witch switch	witch switch
re_archetyping	Re-Archetyping	Re-Archetyping	re-archetyping	re-archetyping
data_resistant_archetypes	Data-Resistant Archetypes	Data-Resistant Archetypes	data-resistant archetypes	data-resistant archetypes
counter_disinfolklore	Counter-Disinfolklore	Counter-Disinfolklore	counter-disinfolklore	counter-disinfolklore
informational_cross_examination	przesłuchanie informacyjne	informational cross-examination	przesłuchanie informacyjne	informational cross-examination
taxonomy_of_russian_suicide	taksonomia rosyjskiego samobójstwa	taxonomy of Russian suicide	taksonomia rosyjskiego samobójstwa	taxonomy of russian suicide
double_method	metoda podwójna	double method	metoda podwójna	double method
cornered_animal	cornered animal	cornered animal	cornered animal	cornered animal
yalta_3_0	Jałta 3.0	Yalta 3.0	jałta 3.0	yalta 3.0
aura_of_fear	aura strachu	aura of fear	aura strachu	aura of fear
reversed_scientific_method	odwrócona metoda naukowa	reversed scientific method	odwrócona metoda naukowa	reversed scientific method
three_nested_equilibria	trzy zagnieżdżone równowagi	three nested equilibria	trzy zagnieżdżone równowagi	three nested equilibria
autoimmunity	autoimmunologia	autoimmunity	autoimmunologia	autoimmunity
self_destruct_clock	zegar samozniszczenia	self-destruct clock	zegar samozniszczenia	self-destruct clock
energy_as_an_instrument_of_justice	energia jako narzędzie sprawiedliwości	energy as an instrument of justice	energia jako narzędzie sprawiedliwości	energy as an instrument of justice
