list_id	concept_id	concept_key	keyword_pl	keyword_en	sections
1	603	state_disintegration	Rozpad państwa	State disintegration	35
2	604	continuity_of_statehood	Ciągłość państwowości	Continuity of statehood	9
3	605	regime_change	Zmiana reżimu	Regime change	10
4	606	authoritarianism	Autorytaryzm	Authoritarianism	4
5	607	personalist_dictatorship	Dyktatura personalistyczna	Personalist dictatorship	7
6	608	imperialism	Imperializm	Imperialism	7
7	609	decolonization	Dekolonizacja	Decolonization	2
8	610	sovereignty	Suwerenność	Sovereignty	1
9	611	territorial_integrity	Integralność terytorialna	Territorial integrity	9
10	612	federalism	Federalizm	Federalism	1
11	613	separatism	Separatyzm	Separatism	3
12	614	centre_periphery_relations	Relacje centrum–peryferie	Centre–periphery relations	5
13	615	monopoly_on_violence	Monopol na przemoc	Monopoly on violence	6
14	616	political_legitimacy	Legitymizacja władzy	Political legitimacy	10
15	557	dark_legitimacy	Ciemna legitymizacja	dark legitimacy	14
16	617	affirmative_legitimacy	Legitymizacja afirmatywna	Affirmative legitimacy	6
17	618	political_succession	Sukcesja władzy	Political succession	1
18	619	palace_coup	Przewrót pałacowy	Palace coup	3
19	620	elite_loyalty	Lojalność elit	Elite loyalty	15
20	621	elite_splits	Rozłam elit	Elite splits	6
21	622	siloviki	Siłowicy	Siloviki	2
22	623	oligarchs	Oligarchowie	Oligarchs	4
23	624	clientelism	Klientelizm	Clientelism	1
24	625	corruption	Korupcja	Corruption	4
25	626	bureaucracy	Biurokracja	Bureaucracy	6
26	627	political_repression	Represje polityczne	Political repression	6
27	628	social_control	Kontrola społeczna	Social control	6
28	629	political_survival	Przetrwanie polityczne	Political survival	22
29	630	suspicious_elite_deaths	Podejrzane zgony elit	Suspicious elite deaths	15
30	631	political_assassinations	Zabójstwa polityczne	Political assassinations	3
31	632	political_prisoners	Więźniowie polityczni	Political prisoners	1
32	633	impunity_of_power	Bezkarność władzy	Impunity of power	1
33	634	war_of_attrition	Wojna na wyniszczenie	War of attrition	3
34	635	long_range_strikes	Uderzenia dalekiego zasięgu	Long-range strikes	72
35	636	drone_warfare	Wojna dronowa	Drone warfare	7
36	637	air_defence	Obrona przeciwlotnicza	Air defence	6
37	638	missile_defence	Obrona przeciwrakietowa	Missile defence	1
38	639	defence_saturation	Przeciążenie obrony	Defence saturation	5
39	640	air_superiority	Przewaga powietrzna	Air superiority	0
40	641	strategic_aviation	Lotnictwo strategiczne	Strategic aviation	2
41	642	airborne_early_warning_aircraft	Samoloty wczesnego ostrzegania	Airborne early warning aircraft	1
42	643	ballistic_missiles	Pociski balistyczne	Ballistic missiles	7
43	644	precision_weapons	Broń precyzyjna	Precision weapons	3
44	645	glide_bombs	Bomby szybujące	Glide bombs	1
45	646	nuclear_arsenal	Arsenał jądrowy	Nuclear arsenal	4
46	647	nuclear_deterrence	Odstraszanie nuklearne	Nuclear deterrence	2
47	648	nuclear_threshold	Próg nuklearny	Nuclear threshold	1
48	649	nuclear_arsenal_control	Kontrola arsenału jądrowego	Nuclear arsenal control	5
49	650	conflict_escalation	Eskalacja konfliktu	Conflict escalation	23
50	651	de_escalation	Deeskalacja	De-escalation	1
51	652	frozen_conflict	Zamrożenie konfliktu	Frozen conflict	3
52	653	peace_negotiations	Negocjacje pokojowe	Peace negotiations	8
53	654	capitulation	Kapitulacja	Capitulation	3
54	655	military_mobilization	Mobilizacja wojskowa	Military mobilization	11
55	656	contract_recruitment	Werbunek kontraktowy	Contract recruitment	4
56	657	military_casualties	Straty osobowe	Military casualties	6
