dokument_kod	anchor	opis
E1	ropa-gaz-geopolityka	Strukturalna analiza popytu na ropę i gaz, możliwości substytucji oraz geopolitycznych skutków transformacji energetycznej.
E1	globalny-popyt-ropa-gaz-2024	Podział globalnego zużycia ropy i gazu na transport, energię, feedstock i pozostałe zastosowania.
E1	transport-podzial-wewnetrzny	Transport drogowy dominuje i ma substytuty; lotnictwo oraz żegluga tworzą twardszy rdzeń popytu.
E1	substytucja-juz-teraz	Większość energetycznego użycia ropy i gazu można technicznie zastąpić bez nowych przełomów naukowych.
E1	transport-drogi-prad-cieplo	EV, OZE, atom i pompy ciepła mogą zastąpić dużą część zużycia, ale wymagają dekad infrastruktury.
E1	surowiec-procesy-przemyslowe	Petrochemia potrzebuje węglowodorów jako materiału, nie tylko energii; substytucja jest znacznie trudniejsza.
E1	nawozy-feedstock	Nawozy wymagają wodoru i gazu, lecz produkcja może być geograficznie przenoszona i odbudowywana stosunkowo szybko.
E1	scenariusz-ormuz	Zamknięcie Ormuz jest przede wszystkim szokiem cenowym i logistycznym, nie automatycznym scenariuszem globalnego głodu.
E1	szok-cenowy-vs-fizyczny-brak	Rynek redukuje mniej użyteczny popyt, zanim zabraknie paliwa dla transportu żywności i funkcji krytycznych.
E1	skala-szoku-lehman-dot-com	Szok Ormuz może przypominać wielką recesję skalą, lecz uderza w podaż i tworzy stagflację zamiast kryzysu finansowego.
E1	paradoks-szybkiego-szoku	Jednoznaczna zła wiadomość może przyspieszyć adaptację i kosztować mniej niż długotrwała niepewność.
E1	geopolityka-energii-topologia-wladzy	Substytucja paliw kopalnych zmienia nie tylko miks energetyczny, lecz układ politycznej i ekonomicznej zależności.
E1	elektryfikacja-transportu-i-generacji	Masowa elektryfikacja odbiera petrostates część dźwigni, redukując znaczenie chokepointów i karteli paliwowych.
E1	centralizacja-vs-decentralizacja	Ropa wymaga scentralizowanych łańcuchów; solar i baterie przesuwają produkcję energii ku rozproszonym sieciom.
E1	panel-capital-good-barylka-consumable	Panel raz sprzedany zmniejsza przyszły popyt na paliwo, podczas gdy baryłka wymaga ciągłego ponownego zakupu.
E1	monopole-surowcowe	Porównanie trwałości monopolu opartego na geologii ropy z chińską dominacją w przetwarzaniu surowców krytycznych.
E1	saudyjska-dzwignia-autoimmunologia	Obniżanie cen ropy niszczy konkurentów, ale jednocześnie przyspiesza inwestycje w trwałe substytuty.
E1	chinski-monopol-surowcow-krytycznych	Chińska przewaga wynika głównie z processingu, dotacji i skali przemysłowej, nie wyjątkowej geologii.
E1	chinski-opec-zegar-samozniszczenia	Metale są stockiem możliwym do odzysku; rosnący recykling stopniowo ogranicza siłę monopolu na nowe wydobycie.
E1	wymiar-etyczny-transformacji	Transformacja energetyczna ma także wymiar moralny: zmniejsza polityczną cenę zależności od autorytarnych dostawców.
E1	tani-surowiec-moralny-hazard	Tania energia od dyktatur zachęca demokracje do racjonalizowania zależności i rozdzielania wartości od polityki.
E1	kryzys-warunek-substytut	Kryzys prowadzi do odłączenia od dostawcy tylko wtedy, gdy istnieje realna technologiczna alternatywa.
E1	kto-przyspieszyl-dekarbonizacje	Putin stworzył bezpieczeństwowy push, a Chiny cenowy pull dla szybszej dekarbonizacji.
E1	energia-sprawiedliwosc	Tania energia rozproszona zmniejsza podatność słabszych odbiorców na globalne szoki i pośredników.
E1	podsumowanie-tez	Zbiorczy werdykt: większość energetycznego popytu jest substytucyjna, feedstock zostaje, a monopole tracą trwałość.
