dokument_kod	plik_zamrozony	plik_anchory	kolejnosc	poziom	sekcja_tytul	anchor
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	1	H1	Kolumbryna 🐙	kolumbryna
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	2	H2	Rozdział 1. Front i spirala OPL — trójkąt spalania	front-spirala-opl
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	3	H2	Rozdział 2. Arsenał nuklearny — odstraszanie na papierze	arsenal-nuklearny
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	4	H2	Rozdział 3. Budżet, NWF i paradoks Hormuz	budzet-nwf-hormuz
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	5	H2	Rozdział 4. Eksport, dewizy i majątek — co jeszcze działa	eksport-dewizy-majatek
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	6	H2	Rozdział 5. Infrastruktura się sypie — kolej, rury, samoloty	infrastruktura-kolej-rury-samoloty
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	7	H2	Rozdział 6. Społeczeństwo na krawędzi — brain drain, pensje, policja	spoleczenstwo-na-krawedzi
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	8	H2	Rozdział 7. Bestiariusz — 24 szare nosorożce i ich sprzężenia	bestiariusz-szare-nosorozce
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	9	H2	Rozdział 8. Patologia informacyjna i dlaczego nie Korea Północna	patologia-informacyjna
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	10	H2	Rozdział 9. Chemia pożarów, uzależnienie i sezonowość	chemia-pozarow-uzaleznienie-sezonowosc
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	11	H2	Rozdział 10. Jest już za późno — konkluzja Części I	za-pozno-konkluzja-czesci-i
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	12	H2	Rozdział 11. Dlaczego to nie jest pytanie o pieniądze	nie-pytanie-o-pieniadze
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	13	H2	Rozdział 12. Zasoby, skreślenia i dziewięć scenariuszy desperacji	zasoby-skreslenia-scenariusze-desperacji
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	14	H2	Rozdział 13. Kiedy elity odłączą się od Putina?	elity-odlaczaja-sie-od-putina
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	15	H2	Rozdział 14. Rozpad irańskiej państwowości i koncepcja operacyjna	rozpad-iranu-koncepcja-operacyjna
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	16	H2	Rozdział 15. Mapa aktorów i ryzyka krytyczne	mapa-aktorow-ryzyka-krytyczne
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	17	H2	Rozdział 16. Hanza 2.0 — porządek bez architekta	hanza-2-0
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	18	H2	Rozdział 17. Od Ormuzu do panelu — struktura, szok i substytucja	od-ormuzu-do-panelu
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	19	H2	Rozdział 18. Monopole i topologia władzy	monopole-topologia-wladzy
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	20	H2	Rozdział 19. Disinfolklore i Dark Legitimacy — trucizna i ciemna strona	disinfolklore-dark-legitimacy
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	21	H2	Rozdział 20. Źródła, etyka i granice poznania	zrodla-etyka-granice-poznania
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	22	H2	Rozdział 21. Steelmanning systemu — Chiny, inercja, zmęczenie Zachodu	steelmanning-systemu
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	23	H2	Rozdział 22. Disinfolklore pod lupą — SWOT i przesłuchanie sądowe	disinfolklore-swot-przesluchanie
A1	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31.html	a1_POCZATEK_ZAMROZONE_kolumbryna-v3_5-2026-03-31-anchory.html	24	H2	Rozdział 23. Zrewidowana konkluzja — mapa, nie GPS	zrewidowana-konkluzja
A5	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23.html	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23-anchory.html	1	H1	Kolumbryna kontra rzeczywistość — dwie rewizje	kolumbryna-kontra-rzeczywistosc
A5	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23.html	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23-anchory.html	2	H2	Jak czytać	jak-czytac
A5	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23.html	a5_ZAMROZONE-audyt-2rewizje-v03_00-2026-06-23-anchory.html	3	H2	Licznik rewizji	licznik-rewizji
