term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
komisja po znajomości	jury packed with friends	neologizm	*			Charakterystyczna Maćkowa zbitka; zachować żart i sens nepotycznego składu.
liczby przetłumaczone na ludzki	numbers translated into human terms	neologizm	*			Maćkowa fraza stylistyczna; zachować rejestr potoczno-analityczny.
teza perwersyjna	perverse thesis	termin	*			Celowo prowokacyjna nazwa wersji tezy.
liczby po ludzku	numbers in human terms	neologizm	*			Rodzina Maćkowych sformułowań „po ludzku”.
geniusz w kryzysie, paraliż w spokoju	brilliant in a crisis, paralysed in calm conditions	neologizm	*			Zachować kontrast i rytm frazy.
zmęczenie, które nie ma dna	fatigue with no bottom	neologizm	*			Maćkowa fraza metaforyczna.
tęsknota za niepoznanym jeszcze sobą	longing for a self you have not yet met	neologizm	*			Zachować sens, nie spłaszczać do identity issues.
przepraszanie za istnienie	apologising for existing	neologizm	*			Fraza opisowa, celowo mocna.
być zrozumianym, nie naprawionym	to be understood, not fixed	neologizm	*			Zachować jako stałą formułę.
rozkręcić osobę autystyczną	get an autistic person going	neologizm	*			Potoczna fraza; chodzi o uruchomienie długiego mówienia/infodumpingu.
po ludzku	in plain language	neologizm	*			Preferowany odpowiednik w tytułach objaśniających.
please crush my soul back into my body	please crush my soul back into my body	neologizm	*			Celowa internetowa fraza; pozostawić dosłownie.
value-based	value-based	termin	*			Pozostawić po angielsku.
biały niedźwiedź	white bear	termin	*			Skrót dla ironicznego efektu negacji w instrukcjach.
gradually stało się suddenly	gradually became suddenly	neologizm	*			Hybrydowa fraza tytułowa; zachować kontrast gradually/suddenly.
hurt	wholesale	neologizm	*			Maćkowa metafora przejścia od pojedynczych trafień do skali całych klas celów.
licznik rewizji	revision counter	termin	*			Zbiorcze porównanie zmian statusów między kolejnymi rewizjami prognozy.
Finding Manuland	Finding Manuland	nazwa	*			Nazwa projektu / ramy interpretacyjnej.
post-narracyjne narzędzie	post-narrative tool	termin	*			Narzędzie mające wyzwalać z narracji, mimo że samo używa kategorii narracyjnych.
pole grawitacyjne	gravitational field	neologizm	*			Metafora układu przyciągającego aktorów przez ich własne interesy.
panel to capital good, baryłka to consumable	a solar panel is a capital good; a barrel is a consumable	neologizm	*			Maćkowa formuła kontrastująca trwały substytut energii z paliwem zużywalnym.
