dokument_kod	anchor	opis
D1	dark-legitimacy-authoritarianism	Koncepcja „ciemnej legitymizacji”: autorytaryzm stabilizowany przez cyniczne oczekiwanie, że każda władza jest zła. Rosja i Ukraina pokazują przeciwstawne logiki legitymizacji.
D1	abstract	Definicja dark legitimacy i kontrast między rosyjską akceptacją zła a ukraińską legitymizacją afirmatywną.
D1	affirmative-concept-legitimacy	Przegląd modeli, w których władza uzasadnia się wartością, misją, zgodą, prawem lub wspólnym celem.
D1	governmentality-affirmative-legitimacy	Governmentality rozszerza afirmatywną legitymizację poza demokrację: władza uzasadnia się produktywnym zarządzaniem i wiedzą.
D1	legitimacy-crisis-soviet-post-soviet	Upadek wiary w sowiecką ideologię tworzy cyniczną próżnię, z której Rosja buduje nowy model legitymizacji.
D1	dark-legitimacy-bad-is-good	Korupcja i przemoc przestają delegitymizować władzę, gdy uznaje się je za normalne, nieuniknione lub nawet pożądane.
D1	russia-ukraine-war-over-legitimacy	Wojna jako starcie rosyjskiej ciemnej legitymizacji z ukraińską tradycją zgody, mobilizacji społecznej i godności.
D1	consequences-dark-legitimacy	Krytyka korupcji wzmacnia system, który już ją zakłada; realną słabością pozostaje utrata obrazu siły.
D1	acknowledgments	Podziękowania autora za wkład, dyskusje i wsparcie pracy.
D1	references	Bibliografia źródeł teoretycznych i empirycznych wykorzystanych w artykule.
