dokument_kod	typ_struktury	glebokosc_struktury	kolejnosc	sekcja_tytul	anchor	parent_anchor	deep_link	opis
A1	H1	1	1	Kolumbryna 🐙	kolumbryna		https://maciektora-hue.github.io/rosja/kolumbryna/#kolumbryna	Systemowa analiza degradacji Rosji, logiki przetrwania Putina, rozpadu Iranu, transformacji energetycznej i narzędzi analitycznych. Kończy się adversarialną korektą własnych tez.
A1	TOM	2	2	Tom I. Front, OPL i arsenał	front-opl-arsenal	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#front-opl-arsenal	Degradacja zdolności wojennych: front, spirala kosztów OPL i starzenie strategicznych nośników nuklearnych.
A1	H2	3	3	Rozdział 1. Front i spirala OPL — trójkąt spalania	front-spirala-opl	front-opl-arsenal	https://maciektora-hue.github.io/rosja/kolumbryna/#front-spirala-opl	Kurcząca się armia, OPL i uderzenia w rafinerie tworzą sprzężenie degradujące front i zaplecze.
A1	H2	3	4	Rozdział 2. Arsenał nuklearny — odstraszanie na papierze	arsenal-nuklearny	front-opl-arsenal	https://maciektora-hue.github.io/rosja/kolumbryna/#arsenal-nuklearny	Odstraszanie pozostaje, lecz starzejące się nośniki i opóźniony Sarmat ograniczają status supermocarstwa.
A1	TOM	2	5	Tom II. Gospodarka, finanse i eksport	gospodarka-finanse-eksport	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#gospodarka-finanse-eksport	Presja wojennego budżetu, kurczenie buforów finansowych oraz degradacja eksportu i dopływu dewiz.
A1	H2	3	6	Rozdział 3. Budżet, NWF i paradoks Hormuz	budzet-nwf-hormuz	gospodarka-finanse-eksport	https://maciektora-hue.github.io/rosja/kolumbryna/#budzet-nwf-hormuz	Wojenny budżet, szybki deficyt i kurczący się NWF zderzone z paradoksem chwilowych zysków z drogiej ropy.
A1	H2	3	7	Rozdział 4. Eksport, dewizy i majątek — co jeszcze działa	eksport-dewizy-majatek	gospodarka-finanse-eksport	https://maciektora-hue.github.io/rosja/kolumbryna/#eksport-dewizy-majatek	Utrata europejskiego gazu, degradacja eksportu i shadow fleet ograniczają trwały dopływ dewiz.
A1	TOM	2	8	Tom III. Infrastruktura i społeczeństwo	infrastruktura-spoleczenstwo	kolumbryna	https://maciektora-hue.github.io/rosja/kolumbryna/#infrastruktura-spoleczenstwo	Fizyczne zużycie kolei, rur i lotnictwa łączy się z drenażem ludzi, płac i zdolności aparatu państwa.
A1	H2	3	9	Rozdział 5. Infrastruktura się sypie — kolej, rury, samoloty	infrastruktura-kolej-rury-samoloty	infrastruktura-spoleczenstwo	https://maciektora-hue.github.io/rosja/kolumbryna/#infrastruktura-kolej-rury-samoloty	Kolej, rurociągi i lotnictwo ujawniają kumulację wieloletnich zaniedbań, braków części i zdolności odtworzeniowych.
A1	H2	3	10	Rozdział 6. Społeczeństwo na krawędzi — brain drain, pensje, policja	spoleczenstwo-na-krawedzi	infrastruktura-spoleczenstwo	https://maciektora-hue.github.io/rosja/kolumbryna/#spoleczenstwo-na-krawedzi	Brain drain, presja płacowa i wakaty w policji osłabiają zdolność państwa do obsługi i kontroli społeczeństwa.
