dokument_kod	dokument_plik	dokument_tytul	url_stabilny	poziom	glebokosc	kolejnosc	sekcja_tytul	anchor	anchor_status	deep_link	opis
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H1	1	1	lipiec 2026. przejscie na hurt	tytul	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#tytul	Lipiec 2026 jako przejście ukraińskiej presji z pojedynczych uderzeń na skalę systemową. Analiza paliw, gospodarki, mobilizacji, adaptacji i kurczących się opcji Rosji.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H2	2	2	I. Skala hurtu	skala-hurtu	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#skala-hurtu	Zmiana jednostki pomiaru: z pojedynczych trafień na bilans całych klas zdolności.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	3	1. Przerób — dno dwudziestolecia	przerob-dno-dwudziestolecia	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#przerob-dno-dwudziestolecia	Rosyjski przerób ropy na minimum od dwóch dekad, z trwałymi wyłączeniami rafinerii.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	4	2. Tempo uderzeń	tempo-uderzen	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#tempo-uderzen	Skok liczby i geograficznego zasięgu trafień w rosyjską infrastrukturę paliwową.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H6	6	5	"o „przerwie"", której nie było"	dygresja-o-lulu	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#dygresja-o-lulu	Rzekoma pauza rafineryjna była przesunięciem kampanii na magazyny i logistykę.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	6	3. Zasięg kryzysu po stronie rosyjskiej	zasieg-kryzysu	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#zasieg-kryzysu	Deficyt paliw obejmuje niemal całą Rosję i zaczyna dotykać także frontu.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	7	"4. Co znaczy „hurt"""	co-znaczy-hurt	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#co-znaczy-hurt	Celami stają się klasy obiektów, a miarą bilans i nieodwracalność strat.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H2	2	8	II. Marketplace jako cel	marketplace-jako-cel	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#marketplace-jako-cel	Magazyny handlu internetowego jako element wojskowej logistyki i kanał transmisji strat finansowych.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	9	1. Kampania Wildberries	kampania-wildberries	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#kampania-wildberries	Seria uderzeń w magazyny Wildberries odsłania nową, słabo bronioną klasę celów.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H6	6	10	o ewakuacji, której nie było	dygresja-ewakuacja	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#dygresja-ewakuacja	Brak ewakuacji pracowników jako wskaźnik nieprzygotowania systemu na tę kategorię uderzeń.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	11	2. Pierwszy Ozon	pierwszy-ozon	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#pierwszy-ozon	Rozszerzenie kampanii z Wildberries na infrastrukturę Ozona.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	12	3. Uzasadnienie celu	uzasadnienie-celu	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#uzasadnienie-celu	Marketplace jako realny węzeł dostaw wojskowych, nie przypadkowy obiekt cywilny.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	13	4. Powód, nie pretekst — i przypieczętowanie przez UE	powod-nie-pretekst	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#powod-nie-pretekst	Rosyjskie oznaczenia wojskowych towarów potwierdzają materialny powód wyboru celu.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H4	4	14	Co mogła zrobić Unia	co-mogla-zrobic-ue	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#co-mogla-zrobic-ue	UE odpowiada sankcjami na te same podmioty, zamiast podważać ukraińską kwalifikację celu.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H3	3	15	5. Efekt finansowy i przerzucenie ryzyka	efekt-finansowy	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#efekt-finansowy	Straty magazynowe przechodzą na sprzedawców, kredyty, rezerwy bankowe i państwo.
A4	a4_lipiec-2026-przejscie-na-hurt-v20_11-2026-08-01.html	lipiec 2026. przejscie na hurt — v20.11	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/	H2	2	16	III. Milczenie strategiczne Zachodu	milczenie-strategiczne	OK	https://maciektora-hue.github.io/rosja/przejscie-na-hurt/#milczenie-strategiczne	Zachód działa według analiz strukturalnych, ale publicznie mówi głównie o bieżących zdarzeniach.
