term_pl	term_en	typ	maciek	concept_id	concept_key	uwagi
pamięć pointer-based	pointer-based memory	termin	*	306	pointer_based_memory	Maćkowe użycie informatycznej metafory jako opisu pamięci ND. ALIAS istniejącego conceptu: pointer_based_memory (concept_id=306).
fundamentowanie IT	laying the foundations of IT	neologizm	*	105	foundations_of_information_technology	Maćkowa kategoria pracy nad warstwą fundamentalną IT. ALIAS istniejącego conceptu: foundations_of_information_technology (concept_id=105).
otwarte loopy	open loops	neologizm	*	287	open_loops	Maćkowe spolszczone użycie “loops”; w EN po prostu open loops. ALIAS istniejącego conceptu: open_loops (concept_id=287).
pamięć „złotej rybki”	“goldfish” memory	termin	*	280	limited_memory	Maćkowa metafora przeciwstawiona pamięci encyklopedycznej. ALIAS istniejącego conceptu: limited_memory (concept_id=280).
udawanie dorosłego	pretending to be an adult	termin	*	325	adult_role_impostor_feelings	Charakterystyczna fraza doświadczeniowa. ALIAS istniejącego conceptu: adult_role_impostor_feelings (concept_id=325).
mówienie za mało albo za dużo	speaking too little or too much	termin	*	33	bimodal_speech_pattern	Stała fraza dla bimodalności regulacji mówienia. ALIAS istniejącego conceptu: bimodal_speech_pattern (concept_id=33).
schemat-based	schema-based	neologizm	*	421	schemas	Hybrydowa Maćkowa zbitka; w EN normalizować do schema-based. ALIAS istniejącego conceptu: schemas (concept_id=421).
polaroidy babci Genowefy	Grandma Genowefa's Polaroids	neologizm	*	38	source_attribution_error	Stała metafora błędnej atrybucji w pamięci i AI. ALIAS istniejącego conceptu: source_attribution_error (concept_id=38).
pisz pozytywnie	write positively	termin	*	147	positive_instructions	Reguła projektowa: formułować instrukcje pozytywnie zamiast przez negację. ALIAS istniejącego conceptu: positive_instructions (concept_id=147).
arbitr prawdy	arbiter of truth	termin	*	14	truth_arbiter	Rola człowieka w systemie człowiek + AI + pliki. ALIAS istniejącego conceptu: truth_arbiter (concept_id=14).
